# cid2code.txt (Version 08/28/2009)
#
# The data in this table contains 14 tab-delimited columns of
# information. The contents of this file supplement Technical Note
# #5079 "Adobe-GB1-5 Character Collection for CID-Keyed Fonts":
#
# http://www.adobe.com/devnet/font/
#
# This table contains lists CIDs 0 through 30283 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded value.
# Here are some common aspects of the data that you will find in this
# table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions. Those with only a "-H" version are explicitly
#   shown with the "-H" appended. Those with both do not have a
#   writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 14, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "GB-H" and "GB-V" CMaps (GB
#   2312-80 character set, ISO-2022-CN encoding).
#
# o Column 3: Character codes for the "GB-EUC-H" and "GB-EUC-V" CMaps
#   (GB 2312-80 character set, EUC-CN encoding, half-width Latin
#   characters).
#
# o Column 4: Character codes for the "GBpc-EUC-H" and "GBpc-EUC-V"
#   CMaps (MacOS-S character set, EUC-CN encoding, proportional Latin
#   characters).
#
# o Column 5: Character codes for the "GBT-H" and "GBT-V" CMaps (GB/T
#   12345-90 character set, ISO-2022-CN encoding).
#
# o Column 6: Character codes for the "GBT-EUC-H" and "GBT-EUC-V"
#   CMaps (GB/T 12345-90 character set, EUC-CN encoding, half-width
#   Latin characters).
#
# o Column 7: Character codes for the "GBTpc-EUC-H" and "GBTpc-EUC-V"
#   CMaps (GB/T 12345-90 character set for MacOS-S, EUC-CN encoding,
#   proportional Latin characters).
#
# o Column 8: Character codes for the "GBK-EUC-H" and "GBK-EUC-V"
#   CMaps (GBK character set used on Windows 95 for PRC Chinese,
#   GBK encoding, half-width Latin characters).
#
# o Column 9: Character codes for the "GBKp-EUC-H" and "GBKp-EUC-V"
#   CMaps (GBK character set used on Windows 95 for PRC Chinese,
#   GBK encoding, proportional Latin characters).
#
# o Column 10: Character codes for the "GBK2K-H" and "GBK2K-V"
#   CMaps (GB 18030-2000 character set, the mixed one-, two-, and
#   four-byte encoding defined in GB 18030-2000, proportional Latin
#   characters).
#
# o Column 11: Character codes for the "UniGB-UCS2-H" and "UniGB-UCS2-V"
#   CMaps (Unicode UCS-2/UTF-16 encoding, proportional Latin characters).
#   (NOTE: These two CMap files are no longer being maintained. The
#   use of the UTF-8, UTF-16, and UTF-32 CMap files is recommended.)
#
# o Column 12: Character codes for the "UniGB-UTF8-H" and "UniGB-UTF8-V"
#   CMaps (Unicode 4.1 UTF-8 encoding, proportional Latin characters).
#
# o Column 13: Character codes for the "UniGB-UTF16-H" and
#   "UniGB-UTF16-V" CMaps (Unicode 4.1 UTF-16 encoding, proportional
#   Latin characters).
#
# o Column 14: Character codes for the "UniGB-UTF32-H" and
#   "UniGB-UTF32-V" CMaps (Unicode 4.1 UTF-32 encoding, proportional
#   Latin characters).
#
CID	GB	GB-EUC	GBpc-EUC	GBT	GBT-EUC	GBTpc-EUC	GBK-EUC	GBKp-EUC	GBK2K	UniGB-UCS2	UniGB-UTF8	UniGB-UTF16	UniGB-UTF32
10562	*	*	*	*	*	*	83e3	83e3	83e3	51a6	e586a6	51a6	000051a6
10563	*	*	*	*	*	*	83e4	83e4	83e4	51a7	e586a7	51a7	000051a7
10564	*	*	*	*	*	*	83e5	83e5	83e5	51a8	e586a8	51a8	000051a8
10565	*	*	*	*	*	*	83e6	83e6	83e6	51a9	e586a9	51a9	000051a9
10566	*	*	*	*	*	*	83e7	83e7	83e7	51aa	e586aa	51aa	000051aa
10567	*	*	*	*	*	*	83e8	83e8	83e8	51ad	e586ad	51ad	000051ad
10568	*	*	*	*	*	*	83e9	83e9	83e9	51ae	e586ae	51ae	000051ae
10569	*	*	*	*	*	*	83ea	83ea	83ea	51b4	e586b4	51b4	000051b4
10570	*	*	*	*	*	*	83eb	83eb	83eb	51b8	e586b8	51b8	000051b8
10571	*	*	*	*	*	*	83ec	83ec	83ec	51b9	e586b9	51b9	000051b9
10572	*	*	*	*	*	*	83ed	83ed	83ed	51ba	e586ba	51ba	000051ba
10573	*	*	*	*	*	*	83ee	83ee	83ee	51be	e586be	51be	000051be
10574	*	*	*	*	*	*	83ef	83ef	83ef	51bf	e586bf	51bf	000051bf
10575	*	*	*	*	*	*	83f0	83f0	83f0	51c1	e58781	51c1	000051c1
10576	*	*	*	*	*	*	83f1	83f1	83f1	51c2	e58782	51c2	000051c2
10577	*	*	*	*	*	*	83f2	83f2	83f2	51c3	e58783	51c3	000051c3
10578	*	*	*	*	*	*	83f3	83f3	83f3	51c5	e58785	51c5	000051c5
10579	*	*	*	*	*	*	83f4	83f4	83f4	51c8	e58788	51c8	000051c8
10580	*	*	*	*	*	*	83f5	83f5	83f5	51ca	e5878a	51ca	000051ca
10581	*	*	*	*	*	*	83f7	83f7	83f7	51ce	e5878e	51ce	000051ce
10582	*	*	*	*	*	*	83f8	83f8	83f8	51d0	e58790	51d0	000051d0
10583	*	*	*	*	*	*	83f9	83f9	83f9	51d2	e58792	51d2	000051d2
10584	*	*	*	*	*	*	83fa	83fa	83fa	51d3	e58793	51d3	000051d3
10585	*	*	*	*	*	*	83fb	83fb	83fb	51d4	e58794	51d4	000051d4
10586	*	*	*	*	*	*	83fc	83fc	83fc	51d5	e58795	51d5	000051d5
10587	*	*	*	*	*	*	83fd	83fd	83fd	51d6	e58796	51d6	000051d6
10588	*	*	*	*	*	*	83fe	83fe	83fe	51d7	e58797	51d7	000051d7
10589	*	*	*	*	*	*	8440	8440	8440	51d8	e58798	51d8	000051d8
10590	*	*	*	*	*	*	8441	8441	8441	51d9	e58799	51d9	000051d9
10591	*	*	*	*	*	*	8442	8442	8442	51da	e5879a	51da	000051da
10592	*	*	*	*	*	*	8443	8443	8443	51dc	e5879c	51dc	000051dc
10593	*	*	*	*	*	*	8444	8444	8444	51de	e5879e	51de	000051de
10594	*	*	*	*	*	*	8445	8445	8445	51df	e5879f	51df	000051df
10595	*	*	*	*	*	*	8446	8446	8446	51e2	e587a2	51e2	000051e2
10596	*	*	*	*	*	*	8447	8447	8447	51e3	e587a3	51e3	000051e3
10597	*	*	*	*	*	*	8448	8448	8448	51e5	e587a5	51e5	000051e5
10598	*	*	*	*	*	*	8449	8449	8449	51e6	e587a6	51e6	000051e6
10599	*	*	*	*	*	*	844a	844a	844a	51e7	e587a7	51e7	000051e7
10600	*	*	*	*	*	*	844b	844b	844b	51e8	e587a8	51e8	000051e8
10601	*	*	*	*	*	*	844c	844c	844c	51e9	e587a9	51e9	000051e9
10602	*	*	*	*	*	*	844d	844d	844d	51ea	e587aa	51ea	000051ea
10603	*	*	*	*	*	*	844e	844e	844e	51ec	e587ac	51ec	000051ec
10604	*	*	*	*	*	*	844f	844f	844f	51ee	e587ae	51ee	000051ee
10605	*	*	*	*	*	*	8451	8451	8451	51f2	e587b2	51f2	000051f2
10606	*	*	*	*	*	*	8452	8452	8452	51f4	e587b4	51f4	000051f4
10607	*	*	*	*	*	*	8453	8453	8453	51f7	e587b7	51f7	000051f7
10608	*	*	*	*	*	*	8454	8454	8454	51fe	e587be	51fe	000051fe
10609	*	*	*	*	*	*	8455	8455	8455	5204	e58884	5204	00005204
10610	*	*	*	*	*	*	8456	8456	8456	5205	e58885	5205	00005205
10611	*	*	*	*	*	*	8457	8457	8457	5209	e58889	5209	00005209
10612	*	*	*	*	*	*	8458	8458	8458	520b	e5888b	520b	0000520b
10613	*	*	*	*	*	*	8459	8459	8459	520c	e5888c	520c	0000520c
10614	*	*	*	*	*	*	845a	845a	845a	520f	e5888f	520f	0000520f
10615	*	*	*	*	*	*	845b	845b	845b	5210	e58890	5210	00005210
10616	*	*	*	*	*	*	845c	845c	845c	5213	e58893	5213	00005213
10617	*	*	*	*	*	*	845d	845d	845d	5214	e58894	5214	00005214
10618	*	*	*	*	*	*	845e	845e	845e	5215	e58895	5215	00005215
10619	*	*	*	*	*	*	845f	845f	845f	521c	e5889c	521c	0000521c
10620	*	*	*	*	*	*	8460	8460	8460	521e	e5889e	521e	0000521e
10621	*	*	*	*	*	*	8461	8461	8461	521f	e5889f	521f	0000521f
10622	*	*	*	*	*	*	8462	8462	8462	5221	e588a1	5221	00005221
10623	*	*	*	*	*	*	8463	8463	8463	5222	e588a2	5222	00005222
10624	*	*	*	*	*	*	8464	8464	8464	5223	e588a3	5223	00005223
10625	*	*	*	*	*	*	8465	8465	8465	5225	e588a5	5225	00005225
10626	*	*	*	*	*	*	8466	8466	8466	5226	e588a6	5226	00005226
10627	*	*	*	*	*	*	8467	8467	8467	5227	e588a7	5227	00005227
10628	*	*	*	*	*	*	8468	8468	8468	522a	e588aa	522a	0000522a
10629	*	*	*	*	*	*	8469	8469	8469	522c	e588ac	522c	0000522c
10630	*	*	*	*	*	*	846a	846a	846a	522f	e588af	522f	0000522f
10631	*	*	*	*	*	*	846b	846b	846b	5231	e588b1	5231	00005231
10632	*	*	*	*	*	*	846c	846c	846c	5232	e588b2	5232	00005232
10633	*	*	*	*	*	*	846d	846d	846d	5234	e588b4	5234	00005234
10634	*	*	*	*	*	*	846e	846e	846e	5235	e588b5	5235	00005235
10635	*	*	*	*	*	*	846f	846f	846f	523c	e588bc	523c	0000523c
10636	*	*	*	*	*	*	8470	8470	8470	523e	e588be	523e	0000523e
10637	*	*	*	*	*	*	8472	8472	8472	5245	e58985	5245	00005245
10638	*	*	*	*	*	*	8473	8473	8473	5246	e58986	5246	00005246
10639	*	*	*	*	*	*	8475	8475	8475	5248	e58988	5248	00005248
10640	*	*	*	*	*	*	8476	8476	8476	5249	e58989	5249	00005249
10641	*	*	*	*	*	*	8478	8478	8478	524e	e5898e	524e	0000524e
10642	*	*	*	*	*	*	8479	8479	8479	524f	e5898f	524f	0000524f
10643	*	*	*	*	*	*	847a	847a	847a	5252	e58992	5252	00005252
10644	*	*	*	*	*	*	847b	847b	847b	5253	e58993	5253	00005253
10645	*	*	*	*	*	*	847c	847c	847c	5255	e58995	5255	00005255
10646	*	*	*	*	*	*	847d	847d	847d	5257	e58997	5257	00005257
10647	*	*	*	*	*	*	847e	847e	847e	5258	e58998	5258	00005258
10648	*	*	*	*	*	*	8480	8480	8480	5259	e58999	5259	00005259
10649	*	*	*	*	*	*	8481	8481	8481	525a	e5899a	525a	0000525a
10650	*	*	*	*	*	*	8483	8483	8483	525d	e5899d	525d	0000525d
10651	*	*	*	*	*	*	8484	8484	8484	525f	e5899f	525f	0000525f
10652	*	*	*	*	*	*	8485	8485	8485	5260	e589a0	5260	00005260
10653	*	*	*	*	*	*	8486	8486	8486	5262	e589a2	5262	00005262
10654	*	*	*	*	*	*	8487	8487	8487	5263	e589a3	5263	00005263
10655	*	*	*	*	*	*	8488	8488	8488	5264	e589a4	5264	00005264
10656	*	*	*	*	*	*	8489	8489	8489	5266	e589a6	5266	00005266
10657	*	*	*	*	*	*	848a	848a	848a	5268	e589a8	5268	00005268
10658	*	*	*	*	*	*	848b	848b	848b	526b	e589ab	526b	0000526b
10659	*	*	*	*	*	*	848c	848c	848c	526c	e589ac	526c	0000526c
10660	*	*	*	*	*	*	848d	848d	848d	526d	e589ad	526d	0000526d
10661	*	*	*	*	*	*	848f	848f	848f	5270	e589b0	5270	00005270
10662	*	*	*	*	*	*	8490	8490	8490	5271	e589b1	5271	00005271
10663	*	*	*	*	*	*	8491	8491	8491	5273	e589b3	5273	00005273
10664	*	*	*	*	*	*	8494	8494	8494	5276	e589b6	5276	00005276
10665	*	*	*	*	*	*	8495	8495	8495	5277	e589b7	5277	00005277
10666	*	*	*	*	*	*	8496	8496	8496	5278	e589b8	5278	00005278
10667	*	*	*	*	*	*	8497	8497	8497	5279	e589b9	5279	00005279
10668	*	*	*	*	*	*	8498	8498	8498	527a	e589ba	527a	0000527a
10669	*	*	*	*	*	*	8499	8499	8499	527b	e589bb	527b	0000527b
10670	*	*	*	*	*	*	849a	849a	849a	527c	e589bc	527c	0000527c
10671	*	*	*	*	*	*	849b	849b	849b	527e	e589be	527e	0000527e
10672	*	*	*	*	*	*	849c	849c	849c	5280	e58a80	5280	00005280
10673	*	*	*	*	*	*	849e	849e	849e	5284	e58a84	5284	00005284
10674	*	*	*	*	*	*	849f	849f	849f	5285	e58a85	5285	00005285
10675	*	*	*	*	*	*	84a0	84a0	84a0	5286	e58a86	5286	00005286
10676	*	*	*	*	*	*	84a4	84a4	84a4	528b	e58a8b	528b	0000528b
10677	*	*	*	*	*	*	84a7	84a7	84a7	528e	e58a8e	528e	0000528e
10678	*	*	*	*	*	*	84a8	84a8	84a8	528f	e58a8f	528f	0000528f
10679	*	*	*	*	*	*	84aa	84aa	84aa	5292	e58a92	5292	00005292
10680	*	*	*	*	*	*	84ab	84ab	84ab	5294	e58a94	5294	00005294
10681	*	*	*	*	*	*	84ac	84ac	84ac	5295	e58a95	5295	00005295
10682	*	*	*	*	*	*	84ad	84ad	84ad	5296	e58a96	5296	00005296
10683	*	*	*	*	*	*	84ae	84ae	84ae	5297	e58a97	5297	00005297
10684	*	*	*	*	*	*	84af	84af	84af	5298	e58a98	5298	00005298
10685	*	*	*	*	*	*	84b0	84b0	84b0	5299	e58a99	5299	00005299
10686	*	*	*	*	*	*	84b1	84b1	84b1	529a	e58a9a	529a	0000529a
10687	*	*	*	*	*	*	84b2	84b2	84b2	529c	e58a9c	529c	0000529c
10688	*	*	*	*	*	*	84b3	84b3	84b3	52a4	e58aa4	52a4	000052a4
10689	*	*	*	*	*	*	84b4	84b4	84b4	52a5	e58aa5	52a5	000052a5
10690	*	*	*	*	*	*	84b5	84b5	84b5	52a6	e58aa6	52a6	000052a6
10691	*	*	*	*	*	*	84b6	84b6	84b6	52a7	e58aa7	52a7	000052a7
10692	*	*	*	*	*	*	84b7	84b7	84b7	52ae	e58aae	52ae	000052ae
10693	*	*	*	*	*	*	84b8	84b8	84b8	52af	e58aaf	52af	000052af
10694	*	*	*	*	*	*	84b9	84b9	84b9	52b0	e58ab0	52b0	000052b0
10695	*	*	*	*	*	*	84ba	84ba	84ba	52b4	e58ab4	52b4	000052b4
10696	*	*	*	*	*	*	84bb	84bb	84bb	52b5	e58ab5	52b5	000052b5
10697	*	*	*	*	*	*	84bc	84bc	84bc	52b6	e58ab6	52b6	000052b6
10698	*	*	*	*	*	*	84bd	84bd	84bd	52b7	e58ab7	52b7	000052b7
10699	*	*	*	*	*	*	84be	84be	84be	52b8	e58ab8	52b8	000052b8
10700	*	*	*	*	*	*	84bf	84bf	84bf	52b9	e58ab9	52b9	000052b9
10701	*	*	*	*	*	*	84c0	84c0	84c0	52ba	e58aba	52ba	000052ba
10702	*	*	*	*	*	*	84c1	84c1	84c1	52bb	e58abb	52bb	000052bb
10703	*	*	*	*	*	*	84c2	84c2	84c2	52bc	e58abc	52bc	000052bc
10704	*	*	*	*	*	*	84c3	84c3	84c3	52bd	e58abd	52bd	000052bd
10705	*	*	*	*	*	*	84c4	84c4	84c4	52c0	e58b80	52c0	000052c0
10706	*	*	*	*	*	*	84c6	84c6	84c6	52c2	e58b82	52c2	000052c2
10707	*	*	*	*	*	*	84c7	84c7	84c7	52c4	e58b84	52c4	000052c4
10708	*	*	*	*	*	*	84c8	84c8	84c8	52c5	e58b85	52c5	000052c5
10709	*	*	*	*	*	*	84c9	84c9	84c9	52c6	e58b86	52c6	000052c6
10710	*	*	*	*	*	*	84ca	84ca	84ca	52c8	e58b88	52c8	000052c8
10711	*	*	*	*	*	*	84cb	84cb	84cb	52ca	e58b8a	52ca	000052ca
10712	*	*	*	*	*	*	84cc	84cc	84cc	52cc	e58b8c	52cc	000052cc
10713	*	*	*	*	*	*	84cd	84cd	84cd	52cd	e58b8d	52cd	000052cd
10714	*	*	*	*	*	*	84ce	84ce	84ce	52ce	e58b8e	52ce	000052ce
10715	*	*	*	*	*	*	84cf	84cf	84cf	52cf	e58b8f	52cf	000052cf
10716	*	*	*	*	*	*	84d0	84d0	84d0	52d1	e58b91	52d1	000052d1
10717	*	*	*	*	*	*	84d1	84d1	84d1	52d3	e58b93	52d3	000052d3
10718	*	*	*	*	*	*	84d2	84d2	84d2	52d4	e58b94	52d4	000052d4
10719	*	*	*	*	*	*	84d4	84d4	84d4	52d7	e58b97	52d7	000052d7
10720	*	*	*	*	*	*	84d6	84d6	84d6	52da	e58b9a	52da	000052da
10721	*	*	*	*	*	*	84d8	84d8	84d8	52dc	e58b9c	52dc	000052dc
10722	*	*	*	*	*	*	84db	84db	84db	52e0	e58ba0	52e0	000052e0
10723	*	*	*	*	*	*	84dc	84dc	84dc	52e1	e58ba1	52e1	000052e1
10724	*	*	*	*	*	*	84de	84de	84de	52e3	e58ba3	52e3	000052e3
10725	*	*	*	*	*	*	84df	84df	84df	52e5	e58ba5	52e5	000052e5
10726	*	*	*	*	*	*	84e0	84e0	84e0	52e6	e58ba6	52e6	000052e6
10727	*	*	*	*	*	*	84e1	84e1	84e1	52e7	e58ba7	52e7	000052e7
10728	*	*	*	*	*	*	84e2	84e2	84e2	52e8	e58ba8	52e8	000052e8
10729	*	*	*	*	*	*	84e3	84e3	84e3	52e9	e58ba9	52e9	000052e9
10730	*	*	*	*	*	*	84e4	84e4	84e4	52ea	e58baa	52ea	000052ea
10731	*	*	*	*	*	*	84e5	84e5	84e5	52eb	e58bab	52eb	000052eb
10732	*	*	*	*	*	*	84e6	84e6	84e6	52ec	e58bac	52ec	000052ec
10733	*	*	*	*	*	*	84e7	84e7	84e7	52ed	e58bad	52ed	000052ed
10734	*	*	*	*	*	*	84e8	84e8	84e8	52ee	e58bae	52ee	000052ee
10735	*	*	*	*	*	*	84e9	84e9	84e9	52ef	e58baf	52ef	000052ef
10736	*	*	*	*	*	*	84eb	84eb	84eb	52f2	e58bb2	52f2	000052f2
10737	*	*	*	*	*	*	84ec	84ec	84ec	52f3	e58bb3	52f3	000052f3
10738	*	*	*	*	*	*	84ed	84ed	84ed	52f4	e58bb4	52f4	000052f4
10739	*	*	*	*	*	*	84ef	84ef	84ef	52f6	e58bb6	52f6	000052f6
10740	*	*	*	*	*	*	84f0	84f0	84f0	52f7	e58bb7	52f7	000052f7
10741	*	*	*	*	*	*	84f2	84f2	84f2	52fb	e58bbb	52fb	000052fb
10742	*	*	*	*	*	*	84f3	84f3	84f3	52fc	e58bbc	52fc	000052fc
10743	*	*	*	*	*	*	84f4	84f4	84f4	52fd	e58bbd	52fd	000052fd
10744	*	*	*	*	*	*	84f5	84f5	84f5	5301	e58c81	5301	00005301
10745	*	*	*	*	*	*	84f6	84f6	84f6	5302	e58c82	5302	00005302
10746	*	*	*	*	*	*	84f7	84f7	84f7	5303	e58c83	5303	00005303
10747	*	*	*	*	*	*	84f8	84f8	84f8	5304	e58c84	5304	00005304
10748	*	*	*	*	*	*	84f9	84f9	84f9	5307	e58c87	5307	00005307
10749	*	*	*	*	*	*	84fa	84fa	84fa	5309	e58c89	5309	00005309
10750	*	*	*	*	*	*	84fb	84fb	84fb	530a	e58c8a	530a	0000530a
10751	*	*	*	*	*	*	84fc	84fc	84fc	530b	e58c8b	530b	0000530b
10752	*	*	*	*	*	*	84fd	84fd	84fd	530c	e58c8c	530c	0000530c
10753	*	*	*	*	*	*	84fe	84fe	84fe	530e	e58c8e	530e	0000530e
10754	*	*	*	*	*	*	8540	8540	8540	5311	e58c91	5311	00005311
10755	*	*	*	*	*	*	8541	8541	8541	5312	e58c92	5312	00005312
10756	*	*	*	*	*	*	8542	8542	8542	5313	e58c93	5313	00005313
10757	*	*	*	*	*	*	8543	8543	8543	5314	e58c94	5314	00005314
10758	*	*	*	*	*	*	8544	8544	8544	5318	e58c98	5318	00005318
10759	*	*	*	*	*	*	8545	8545	8545	531b	e58c9b	531b	0000531b
10760	*	*	*	*	*	*	8546	8546	8546	531c	e58c9c	531c	0000531c
10761	*	*	*	*	*	*	8547	8547	8547	531e	e58c9e	531e	0000531e
10762	*	*	*	*	*	*	8548	8548	8548	531f	e58c9f	531f	0000531f
10763	*	*	*	*	*	*	8549	8549	8549	5322	e58ca2	5322	00005322
10764	*	*	*	*	*	*	854a	854a	854a	5324	e58ca4	5324	00005324
10765	*	*	*	*	*	*	854b	854b	854b	5325	e58ca5	5325	00005325
10766	*	*	*	*	*	*	854c	854c	854c	5327	e58ca7	5327	00005327
10767	*	*	*	*	*	*	854d	854d	854d	5328	e58ca8	5328	00005328
10768	*	*	*	*	*	*	854e	854e	854e	5329	e58ca9	5329	00005329
10769	*	*	*	*	*	*	854f	854f	854f	532b	e58cab	532b	0000532b
10770	*	*	*	*	*	*	8550	8550	8550	532c	e58cac	532c	0000532c
10771	*	*	*	*	*	*	8553	8553	8553	5330	e58cb0	5330	00005330
10772	*	*	*	*	*	*	8555	8555	8555	5332	e58cb2	5332	00005332
10773	*	*	*	*	*	*	8556	8556	8556	5333	e58cb3	5333	00005333
10774	*	*	*	*	*	*	8557	8557	8557	5334	e58cb4	5334	00005334
10775	*	*	*	*	*	*	8558	8558	8558	5335	e58cb5	5335	00005335
10776	*	*	*	*	*	*	8559	8559	8559	5336	e58cb6	5336	00005336
10777	*	*	*	*	*	*	855a	855a	855a	5337	e58cb7	5337	00005337
10778	*	*	*	*	*	*	855b	855b	81398d34,855b	2f16,5338	e2bc96,e58cb8	2f16,5338	00002f16,00005338
10779	*	*	*	*	*	*	855c	855c	855c	533c	e58cbc	533c	0000533c
10780	*	*	*	*	*	*	855d	855d	855d	533d	e58cbd	533d	0000533d
10781	*	*	*	*	*	*	855f	855f	855f	5342	e58d82	5342	00005342
10782	*	*	*	*	*	*	8560	8560	8560	5344	e58d84	5344	00005344
10783	*	*	*	*	*	*	8561	8561	8561	5346	e58d86	5346	00005346
10784	*	*	*	*	*	*	8562	8562	8562	534b	e58d8b	534b	0000534b
10785	*	*	*	*	*	*	8563	8563	8563	534c	e58d8c	534c	0000534c
10786	*	*	*	*	*	*	8564	8564	8564	534d	e58d8d	534d	0000534d
10787	*	*	*	*	*	*	8565	8565	8565	5350	e58d90	5350	00005350
10788	*	*	*	*	*	*	8567	8567	8567	5358	e58d98	5358	00005358
10789	*	*	*	*	*	*	8568	8568	8568	5359	e58d99	5359	00005359
10790	*	*	*	*	*	*	8569	8569	8569	535b	e58d9b	535b	0000535b
10791	*	*	*	*	*	*	856a	856a	856a	535d	e58d9d	535d	0000535d
10792	*	*	*	*	*	*	856b	856b	856b	5365	e58da5	5365	00005365
10793	*	*	*	*	*	*	856c	856c	856c	5368	e58da8	5368	00005368
10794	*	*	*	*	*	*	856d	856d	856d	536a	e58daa	536a	0000536a
10795	*	*	*	*	*	*	856e	856e	856e	536c	e58dac	536c	0000536c
10796	*	*	*	*	*	*	856f	856f	856f	536d	e58dad	536d	0000536d
10797	*	*	*	*	*	*	8570	8570	8570	5372	e58db2	5372	00005372
10798	*	*	*	*	*	*	8571	8571	8571	5376	e58db6	5376	00005376
10799	*	*	*	*	*	*	8572	8572	8572	5379	e58db9	5379	00005379
10800	*	*	*	*	*	*	8573	8573	8573	537b	e58dbb	537b	0000537b
10801	*	*	*	*	*	*	8574	8574	8574	537c	e58dbc	537c	0000537c
10802	*	*	*	*	*	*	8575	8575	8575	537d	e58dbd	537d	0000537d
10803	*	*	*	*	*	*	8576	8576	8576	537e	e58dbe	537e	0000537e
10804	*	*	*	*	*	*	8577	8577	8577	5380	e58e80	5380	00005380
10805	*	*	*	*	*	*	8578	8578	8578	5381	e58e81	5381	00005381
10806	*	*	*	*	*	*	8579	8579	8579	5383	e58e83	5383	00005383
10807	*	*	*	*	*	*	857a	857a	857a	5387	e58e87	5387	00005387
10808	*	*	*	*	*	*	857b	857b	857b	5388	e58e88	5388	00005388
10809	*	*	*	*	*	*	857c	857c	857c	538a	e58e8a	538a	0000538a
10810	*	*	*	*	*	*	857d	857d	857d	538e	e58e8e	538e	0000538e
10811	*	*	*	*	*	*	857e	857e	857e	538f	e58e8f	538f	0000538f
10812	*	*	*	*	*	*	8580	8580	8580	5390	e58e90	5390	00005390
10813	*	*	*	*	*	*	8581	8581	8581	5391	e58e91	5391	00005391
10814	*	*	*	*	*	*	8582	8582	8582	5392	e58e92	5392	00005392
10815	*	*	*	*	*	*	8583	8583	8583	5393	e58e93	5393	00005393
10816	*	*	*	*	*	*	8584	8584	8584	5394	e58e94	5394	00005394
10817	*	*	*	*	*	*	8585	8585	8585	5396	e58e96	5396	00005396
10818	*	*	*	*	*	*	8586	8586	8586	5397	e58e97	5397	00005397
10819	*	*	*	*	*	*	8588	8588	8588	539b	e58e9b	539b	0000539b
10820	*	*	*	*	*	*	8589	8589	8589	539c	e58e9c	539c	0000539c
10821	*	*	*	*	*	*	858a	858a	858a	539e	e58e9e	539e	0000539e
10822	*	*	*	*	*	*	858c	858c	858c	53a1	e58ea1	53a1	000053a1
10823	*	*	*	*	*	*	858d	858d	858d	53a4	e58ea4	53a4	000053a4
10824	*	*	*	*	*	*	858e	858e	858e	53a7	e58ea7	53a7	000053a7
10825	*	*	*	*	*	*	858f	858f	858f	53aa	e58eaa	53aa	000053aa
10826	*	*	*	*	*	*	8590	8590	8590	53ab	e58eab	53ab	000053ab
10827	*	*	*	*	*	*	8591	8591	8591	53ac	e58eac	53ac	000053ac
10828	*	*	*	*	*	*	8593	8593	8593	53af	e58eaf	53af	000053af
10829	*	*	*	*	*	*	8594	8594	8594	53b0	e58eb0	53b0	000053b0
10830	*	*	*	*	*	*	8595	8595	8595	53b1	e58eb1	53b1	000053b1
10831	*	*	*	*	*	*	8597	8597	8597	53b3	e58eb3	53b3	000053b3
10832	*	*	*	*	*	*	8599	8599	8599	53b5	e58eb5	53b5	000053b5
10833	*	*	*	*	*	*	859a	859a	859a	53b7	e58eb7	53b7	000053b7
10834	*	*	*	*	*	*	859b	859b	859b	53b8	e58eb8	53b8	000053b8
10835	*	*	*	*	*	*	859c	859c	859c	53b9	e58eb9	53b9	000053b9
10836	*	*	*	*	*	*	859d	859d	859d	53ba	e58eba	53ba	000053ba
10837	*	*	*	*	*	*	859e	859e	859e	53bc	e58ebc	53bc	000053bc
10838	*	*	*	*	*	*	859f	859f	859f	53bd	e58ebd	53bd	000053bd
10839	*	*	*	*	*	*	85a0	85a0	85a0	53be	e58ebe	53be	000053be
10840	*	*	*	*	*	*	85a1	85a1	85a1	53c0	e58f80	53c0	000053c0
10841	*	*	*	*	*	*	85a3	85a3	85a3	53c4	e58f84	53c4	000053c4
10842	*	*	*	*	*	*	85a4	85a4	85a4	53c5	e58f85	53c5	000053c5
10843	*	*	*	*	*	*	85a5	85a5	85a5	53c6	e58f86	53c6	000053c6
10844	*	*	*	*	*	*	85a6	85a6	85a6	53c7	e58f87	53c7	000053c7
10845	*	*	*	*	*	*	85a7	85a7	85a7	53ce	e58f8e	53ce	000053ce
10846	*	*	*	*	*	*	85a8	85a8	85a8	53cf	e58f8f	53cf	000053cf
10847	*	*	*	*	*	*	85a9	85a9	85a9	53d0	e58f90	53d0	000053d0
10848	*	*	*	*	*	*	85aa	85aa	85aa	53d2	e58f92	53d2	000053d2
10849	*	*	*	*	*	*	85ab	85ab	85ab	53d3	e58f93	53d3	000053d3
10850	*	*	*	*	*	*	85ac	85ac	85ac	53d5	e58f95	53d5	000053d5
10851	*	*	*	*	*	*	85ad	85ad	85ad	53da	e58f9a	53da	000053da
10852	*	*	*	*	*	*	85ae	85ae	85ae	53dc	e58f9c	53dc	000053dc
10853	*	*	*	*	*	*	85af	85af	85af	53dd	e58f9d	53dd	000053dd
